NH3,time,station,longitude,latitude
9.4428,2012-11,FL19,-80.4554,27.8492
2.448,2012-12,FL19,-80.4554,27.8492
9.055439999999999,2013-01,FL19,-80.4554,27.8492
9.4824,2013-02,FL19,-80.4554,27.8492
3.0959999999999996,2013-03,FL19,-80.4554,27.8492
2.7504,2013-04,FL19,-80.4554,27.8492
2.238,2013-05,FL19,-80.4554,27.8492
1.6079999999999999,2013-06,FL19,-80.4554,27.8492
2.147657142857143,2013-07,FL19,-80.4554,27.8492
2.4576,2013-08,FL19,-80.4554,27.8492
2.3352,2013-09,FL19,-80.4554,27.8492
3.42,2013-10,FL19,-80.4554,27.8492
3.0288,2013-12,FL19,-80.4554,27.8492
3.1319999999999997,2014-01,FL19,-80.4554,27.8492
3.1536,2014-02,FL19,-80.4554,27.8492
2.988,2014-03,FL19,-80.4554,27.8492
3.3192,2014-04,FL19,-80.4554,27.8492
3.1608000000000005,2014-05,FL19,-80.4554,27.8492
3.708,2014-06,FL19,-80.4554,27.8492
3.384,2014-07,FL19,-80.4554,27.8492
3.7368,2014-08,FL19,-80.4554,27.8492
2.9160000000000004,2014-09,FL19,-80.4554,27.8492
3.07728,2014-10,FL19,-80.4554,27.8492
2.0075999999999996,2014-11,FL19,-80.4554,27.8492
2.0232,2014-12,FL19,-80.4554,27.8492
1.8239999999999998,2015-01,FL19,-80.4554,27.8492
1.5071999999999999,2015-02,FL19,-80.4554,27.8492
2.3328,2015-03,FL19,-80.4554,27.8492
2.6136,2015-04,FL19,-80.4554,27.8492
3.2256,2015-05,FL19,-80.4554,27.8492
4.103999999999999,2015-06,FL19,-80.4554,27.8492
4.4856,2015-07,FL19,-80.4554,27.8492
2.5248,2015-08,FL19,-80.4554,27.8492
2.7576,2015-09,FL19,-80.4554,27.8492
2.52,2015-10,FL19,-80.4554,27.8492
2.2895999999999996,2015-11,FL19,-80.4554,27.8492
2.3808,2015-12,FL19,-80.4554,27.8492
2.1024,2016-01,FL19,-80.4554,27.8492
1.728,2016-02,FL19,-80.4554,27.8492
1.776,2016-03,FL19,-80.4554,27.8492
2.0376,2016-04,FL19,-80.4554,27.8492
2.7110399999999997,2016-05,FL19,-80.4554,27.8492
2.0796,2016-06,FL19,-80.4554,27.8492
3.3408,2016-07,FL19,-80.4554,27.8492
2.2872,2016-08,FL19,-80.4554,27.8492
1.5191999999999999,2016-09,FL19,-80.4554,27.8492
2.2967999999999997,2016-10,FL19,-80.4554,27.8492
2.1209142857142855,2016-11,FL19,-80.4554,27.8492
3.276,2016-12,FL19,-80.4554,27.8492
3.0383999999999998,2017-01,FL19,-80.4554,27.8492
2.2608,2017-02,FL19,-80.4554,27.8492
2.7792000000000003,2017-03,FL19,-80.4554,27.8492
2.4681599999999997,2017-04,FL19,-80.4554,27.8492
2.1696,2017-05,FL19,-80.4554,27.8492
2.9879999999999995,2017-06,FL19,-80.4554,27.8492
3.264,2017-07,FL19,-80.4554,27.8492
2.6064,2017-08,FL19,-80.4554,27.8492
4.3459200000000004,2017-09,FL19,-80.4554,27.8492
2.64816,2017-10,FL19,-80.4554,27.8492
2.7647999999999997,2017-11,FL19,-80.4554,27.8492
3.0096,2017-12,FL19,-80.4554,27.8492
1.7663999999999997,2018-01,FL19,-80.4554,27.8492
2.5704,2018-02,FL19,-80.4554,27.8492
2.7381599999999997,2018-03,FL19,-80.4554,27.8492
2.1336,2018-04,FL19,-80.4554,27.8492
2.856,2018-05,FL19,-80.4554,27.8492
2.1792,2018-06,FL19,-80.4554,27.8492
3.3767999999999994,2018-07,FL19,-80.4554,27.8492
2.02464,2018-08,FL19,-80.4554,27.8492
2.1239999999999997,2018-09,FL19,-80.4554,27.8492
1.512,2018-10,FL19,-80.4554,27.8492
2.1427199999999997,2018-11,FL19,-80.4554,27.8492
2.12112,2018-12,FL19,-80.4554,27.8492
0.3258,2008-01,NY67,-76.6589,42.4014
0.2772,2008-02,NY67,-76.6589,42.4014
0.4266,2008-03,NY67,-76.6589,42.4014
1.2,2008-04,NY67,-76.6589,42.4014
0.6048,2008-09,NY67,-76.6589,42.4014
0.5922,2008-10,NY67,-76.6589,42.4014
0.34740000000000004,2008-11,NY67,-76.6589,42.4014
0.17099999999999999,2008-12,NY67,-76.6589,42.4014
0.08382857142857145,2009-01,NY67,-76.6589,42.4014
0.20982857142857145,2009-02,NY67,-76.6589,42.4014
0.5136000000000001,2009-03,NY67,-76.6589,42.4014
1.4742,2009-04,NY67,-76.6589,42.4014
1.4957999999999998,2009-05,NY67,-76.6589,42.4014
1.5173999999999999,2009-06,NY67,-76.6589,42.4014
1.1285999999999998,2009-07,NY67,-76.6589,42.4014
0.9144000000000001,2009-08,NY67,-76.6589,42.4014
0.8088,2009-09,NY67,-76.6589,42.4014
0.6894,2009-10,NY67,-76.6589,42.4014
0.8244,2009-11,NY67,-76.6589,42.4014
0.3114,2009-12,NY67,-76.6589,42.4014
0.6696,2010-01,NY67,-76.6589,42.4014
0.5472,2010-02,NY67,-76.6589,42.4014
0.9156,2010-03,NY67,-76.6589,42.4014
1.7297999999999998,2010-04,NY67,-76.6589,42.4014
1.6955999999999996,2010-05,NY67,-76.6589,42.4014
1.9692,2010-06,NY67,-76.6589,42.4014
1.503,2010-07,NY67,-76.6589,42.4014
1.0392,2010-08,NY67,-76.6589,42.4014
0.9792000000000002,2010-09,NY67,-76.6589,42.4014
0.7884000000000001,2010-10,NY67,-76.6589,42.4014
0.6335999999999999,2010-11,NY67,-76.6589,42.4014
0.171,2010-12,NY67,-76.6589,42.4014
0.2286,2011-01,NY67,-76.6589,42.4014
0.144,2011-02,NY67,-76.6589,42.4014
0.4158,2011-03,NY67,-76.6589,42.4014
0.6204,2011-04,NY67,-76.6589,42.4014
1.4112,2011-05,NY67,-76.6589,42.4014
1.1808,2011-06,NY67,-76.6589,42.4014
1.6776,2011-07,NY67,-76.6589,42.4014
1.0637999999999999,2011-08,NY67,-76.6589,42.4014
0.5184000000000001,2011-09,NY67,-76.6589,42.4014
0.2808,2011-10,NY67,-76.6589,42.4014
0.6516,2011-11,NY67,-76.6589,42.4014
0.1512,2011-12,NY67,-76.6589,42.4014
0.24719999999999998,2012-01,NY67,-76.6589,42.4014
0.5831999999999999,2012-02,NY67,-76.6589,42.4014
0.9084,2012-03,NY67,-76.6589,42.4014
1.314,2012-04,NY67,-76.6589,42.4014
1.5372000000000001,2012-05,NY67,-76.6589,42.4014
1.6704,2012-06,NY67,-76.6589,42.4014
1.6991999999999998,2012-07,NY67,-76.6589,42.4014
1.4256,2012-08,NY67,-76.6589,42.4014
0.9611999999999999,2012-09,NY67,-76.6589,42.4014
0.8964000000000001,2012-10,NY67,-76.6589,42.4014
0.6048,2012-11,NY67,-76.6589,42.4014
0.45360000000000006,2012-12,NY67,-76.6589,42.4014
0.6228,2013-01,NY67,-76.6589,42.4014
0.6072,2013-02,NY67,-76.6589,42.4014
0.6129600000000001,2013-03,NY67,-76.6589,42.4014
1.3247999999999998,2013-04,NY67,-76.6589,42.4014
1.8479999999999999,2013-05,NY67,-76.6589,42.4014
2.5704000000000002,2013-06,NY67,-76.6589,42.4014
2.5631999999999997,2013-07,NY67,-76.6589,42.4014
2.0807999999999995,2013-08,NY67,-76.6589,42.4014
1.9776000000000002,2013-09,NY67,-76.6589,42.4014
1.1784,2013-10,NY67,-76.6589,42.4014
0.9924000000000001,2013-11,NY67,-76.6589,42.4014
0.7128,2013-12,NY67,-76.6589,42.4014
0.7703999999999999,2014-01,NY67,-76.6589,42.4014
0.4032,2014-02,NY67,-76.6589,42.4014
0.7488,2014-03,NY67,-76.6589,42.4014
1.908,2014-04,NY67,-76.6589,42.4014
2.4912,2014-05,NY67,-76.6589,42.4014
2.8896,2014-06,NY67,-76.6589,42.4014
2.7144000000000004,2014-07,NY67,-76.6589,42.4014
1.25136,2014-08,NY67,-76.6589,42.4014
0.9516,2014-09,NY67,-76.6589,42.4014
1.0476,2014-10,NY67,-76.6589,42.4014
0.8124,2014-11,NY67,-76.6589,42.4014
0.6816000000000001,2014-12,NY67,-76.6589,42.4014
0.3024,2015-01,NY67,-76.6589,42.4014
0.4176,2015-02,NY67,-76.6589,42.4014
0.5760000000000001,2015-03,NY67,-76.6589,42.4014
2.2968,2015-04,NY67,-76.6589,42.4014
3.8808000000000002,2015-05,NY67,-76.6589,42.4014
2.1936,2015-06,NY67,-76.6589,42.4014
2.4768,2015-07,NY67,-76.6589,42.4014
2.3255999999999997,2015-08,NY67,-76.6589,42.4014
1.4879999999999998,2015-09,NY67,-76.6589,42.4014
1.34496,2015-10,NY67,-76.6589,42.4014
1.1663999999999999,2015-11,NY67,-76.6589,42.4014
0.7488,2015-12,NY67,-76.6589,42.4014
0.4032,2016-01,NY67,-76.6589,42.4014
0.49679999999999996,2016-02,NY67,-76.6589,42.4014
0.9432,2016-03,NY67,-76.6589,42.4014
1.9511999999999998,2016-04,NY67,-76.6589,42.4014
2.7108,2016-05,NY67,-76.6589,42.4014
3.17952,2016-06,NY67,-76.6589,42.4014
2.7139199999999994,2016-07,NY67,-76.6589,42.4014
2.1431999999999998,2016-08,NY67,-76.6589,42.4014
2.6712,2016-09,NY67,-76.6589,42.4014
1.4879999999999998,2016-10,NY67,-76.6589,42.4014
1.1256000000000002,2016-11,NY67,-76.6589,42.4014
0.50976,2016-12,NY67,-76.6589,42.4014
0.4608,2017-01,NY67,-76.6589,42.4014
0.8927999999999999,2017-02,NY67,-76.6589,42.4014
0.864,2017-03,NY67,-76.6589,42.4014
1.3151999999999997,2017-04,NY67,-76.6589,42.4014
2.2488,2017-05,NY67,-76.6589,42.4014
2.2310399999999997,2017-06,NY67,-76.6589,42.4014
2.0063999999999997,2017-07,NY67,-76.6589,42.4014
2.2104,2017-08,NY67,-76.6589,42.4014
1.7999999999999998,2017-09,NY67,-76.6589,42.4014
1.4495999999999998,2017-10,NY67,-76.6589,42.4014
0.79488,2017-11,NY67,-76.6589,42.4014
0.6239999999999999,2017-12,NY67,-76.6589,42.4014
0.5112,2018-01,NY67,-76.6589,42.4014
0.5904,2018-02,NY67,-76.6589,42.4014
0.6335999999999999,2018-03,NY67,-76.6589,42.4014
1.4831999999999996,2018-04,NY67,-76.6589,42.4014
3.1296,2018-05,NY67,-76.6589,42.4014
2.0268,2018-06,NY67,-76.6589,42.4014
2.88,2018-07,NY67,-76.6589,42.4014
1.3584,2018-08,NY67,-76.6589,42.4014
1.6127999999999998,2018-09,NY67,-76.6589,42.4014
0.72,2018-10,NY67,-76.6589,42.4014
0.5112,2018-11,NY67,-76.6589,42.4014
0.56592,2018-12,NY67,-76.6589,42.4014
1.4687999999999999,2012-09,CO10,-106.986,38.9561
1.3199999999999998,2012-10,CO10,-106.986,38.9561
0.7889999999999999,2012-11,CO10,-106.986,38.9561
0.7152,2012-12,CO10,-106.986,38.9561
1.3487999999999998,2013-01,CO10,-106.986,38.9561
0.5544,2013-02,CO10,-106.986,38.9561
0.7752,2013-03,CO10,-106.986,38.9561
1.3823999999999999,2013-04,CO10,-106.986,38.9561
